Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Male,Married_Yes,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,TotalIncome,TotalIncomeByPerson,Cuota,%Cuota,log_ApplicantIncome,log_TotalIncome,Loan_Status
0.0,0.10260754767750734,0.0,0.17628705148205928,0.7435897435897436,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.04899690890356991,0.08534594141784159,0.0340258958145137,0.0738713667139612,0.38254241068805994,0.25859634301447,0
0.0,0.03268894419965661,0.07041543667650658,0.1310452418096724,0.7435897435897436,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.07981089763015939,0.12143800315202115,0.025293586269196023,0.038672272420739964,0.17734588678575314,0.350875696061026,1
0.3333333333333333,0.0787267498570508,0.0,0.1341653666146646,0.7435897435897436,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.03522637735620341,0.028112620862972268,0.025895814513700693,0.06841825926916105,0.32636289275316654,0.20571727523603434,0
0.0,0.20292371598667863,0.0,0.1825273010920437,0.7435897435897436,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.10684283895993696,0.15310019735627778,0.03523035230352303,0.04295689675458688,0.5469055200006907,0.4133034020477897,0
0.0,0.08007214691735821,0.05771953824369405,0.1591263650546022,0.7435897435897436,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.09430874598460512,0.13841916201672558,0.030713640469738027,0.04132067498069086,0.32981014424197497,0.38598745276558866,0
0.0,0.04362029531465432,0.053015575875392996,0.1950078003120125,0.7435897435897436,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.06853748712043153,0.10823359032244326,0.037639265281541705,0.06519723178699514,0.2196551008931844,0.32035819747124394,0
0.0,0.07977784131041597,0.0003868769251445988,0.1216848673946958,0.7435897435897436,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.03622328628013819,0.07038434782524741,0.02348690153568202,0.06122628450260812,0.3290592894257234,0.20988026107898783,0
0.0,0.42562897312568965,0.0,0.1981279251170047,0.7435897435897436,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.23526274319655738,0.30351691726654456,0.03824149352604637,0.02186050582184479,0.7491108382668132,0.6036295052754088,0
0.0,0.1560870808247269,0.0,0.20124804992199688,0.7435897435897436,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0798351415237287,0.12146639973875141,0.03884372177055104,0.06012798396053232,0.48064761990862914,0.3509380397482178,1
0.0,0.04803487941878801,0.0,0.09516380655226209,0.7435897435897436,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.017528335050609127,0.0484871718419446,0.018367961457392352,0.0673281778481758,0.23524498322726872,0.11995238634479932,0
0.3333333333333333,0.11728078436648502,0.0,0.1606864274570983,0.7435897435897436,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05745802775925813,0.04113245587880337,0.031014754591990358,0.06066154529269583,0.4126528252808508,0.28693782248273836,0
0.6666666666666666,0.22537502943055854,0.023999808001535988,0.27769110764430577,0.7435897435897436,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.14403297169525425,0.05689256151410601,0.05359831376091539,0.05150867785396801,0.5743030069815953,0.48205036761792197,1
0.0,0.057200396892132244,0.05131158950728394,0.07644305772230889,0.7435897435897436,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07464694829989696,0.11538953017847255,0.014754591990364347,0.02327740339029681,0.2653306607564012,0.33728704098997175,0
0.6666666666666666,0.3649599744374524,0.0,0.1606864274570983,0.7435897435897436,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.200278804776047,0.0788525885855187,0.031014754591990358,0.02037239115642099,0.7056331115124612,0.5627060202686476,0
0.0,0.17420789748074234,0.0,0.1856474258970359,0.7435897435897436,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.09028425965210013,0.13370532861949994,0.0358325805480277,0.05026403673402064,0.507966542879748,0.3766520229315158,0
0.0,0.15259745719955453,0.08599131206950344,0.1825273010920437,0.7435897435897436,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.164688769016304,0.22085445329471398,0.03523035230352303,0.02885960178097526,0.4751019577359985,0.5142864418783981,0
0.3333333333333333,0.35802277084524226,0.0,0.27769110764430577,0.7435897435897436,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.19627856233711133,0.12243188368758078,0.05359831376091539,0.03858343469802134,0.7002546536826024,0.5576435375955469,0
0.3333333333333333,0.727796744139107,0.0,0.765990639625585,0.7435897435897436,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.40950360627916843,0.24730587383396518,0.14784703402589583,0.05590113319395563,0.9051596320677464,0.7505107005484897,1
0.0,0.05038932427432598,0.0,0.0795631825273011,0.7435897435897436,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.018885993090490334,0.05007738069884,0.015356820234869013,0.05531758911022418,0.24325316307460731,0.12749009938498723,1
0.0,0.05791513908042055,0.09119927040583675,0.1825273010920437,0.358974358974359,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.11535244560276378,0.1630673992986043,0.07317073170731707,0.08610304161466376,0.2675598204739602,0.43050526987678905,1
0.6666666666666666,0.45131764824593423,0.0,0.27769110764430577,0.358974358974359,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.25007576216740407,0.09829478496684699,0.10990665462210178,0.06614980240443086,0.7658464933039362,0.6193819693326859,0
0.0,0.2092723083650042,0.0,0.2293291731669267,0.7435897435897436,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11050366688890234,0.1573880819525493,0.044263775971093045,0.05302542672898766,0.5548985156520168,0.4208268229373928,0
1.0,0.15692795398741904,0.0,0.1341653666146646,0.7435897435897436,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.08032001939511485,0.02076500404651361,0.025895814513700693,0.039426305220219206,0.48196938793900435,0.35218215617774273,1
0.0,0.0690987521442259,0.10319917440660475,0.1747269890795632,0.7435897435897436,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.13392326807685312,0.18481918473399497,0.03372478169226136,0.033533865201541446,0.300521312265988,0.46488973375446907,0
0.6666666666666666,0.11925683629881155,0.0,0.1357254290171607,0.7435897435897436,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.05859749075701557,0.02353603763494294,0.026196928635953028,0.05048881406749944,0.4164955752423345,0.290554817486226,0
0.0,0.22117066361709786,0.10598315213478292,0.31201248049922,0.7435897435897436,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.22442572277107703,0.29082364299811164,0.06022282445046673,0.0384225059374372,0.5693512382009942,0.5915482322705827,1
0.0,0.39460075342234996,0.0,0.39001560062402496,0.7435897435897436,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2173707497424086,0.2825602362596016,0.07527853056308341,0.050506415268517416,0.7276281264948281,0.583408865910509,0
0.0,0.04013067168948198,0.02392780857753138,0.06396255850234009,0.7435897435897436,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.03714164494817868,0.0714600105067371,0.012345679012345678,0.03227422081279282,0.2067586156853536,0.21366395683447825,0
0.0,0.17210571457401197,0.03482372141022872,0.24336973478939158,0.7435897435897436,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.12424995454269955,0.17348894662861525,0.04697380307136404,0.051050567247734074,0.5049166355384047,0.4474796323370529,1
0.0,0.12299872187279152,0.041591667266661865,0.21840873634945399,0.7435897435897436,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.10276986484029335,0.14832957078559156,0.04215597711532671,0.05353988424272037,0.42364573028765484,0.4047012461184729,1
1.0,0.0339502539436948,0.0,0.1825273010920437,0.7435897435897436,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.009406630704891207,0.0,0.03523035230352303,0.14981214748604246,0.1825292940708514,0.07033365335532027,1
0.0,0.06241381050082345,0.0,0.0733229329173167,0.7435897435897436,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025819746651312203,0.05819880450369865,0.014152363745859677,0.044753189472347125,0.281237971175476,0.1632433652717551,0
0.0,0.18837661027210473,0.10775913792689659,0.09516380655226209,0.7435897435897436,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.20730953391114612,0.2707756527665375,0.018367961457392352,0.010123032107059116,0.5277837067848341,0.5713985852909591,0
0.0,0.08368790151693438,0.07279141766865865,0.1341653666146646,0.6153846153846154,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.11161888599309047,0.15869432494214195,0.031616982836495035,0.03688870101283661,0.33889113369307644,0.4230811331733042,0
0.6666666666666666,0.12169536847061872,0.0,0.1794071762870515,0.7435897435897436,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.060003636584035396,0.024085038311728264,0.03462812405901837,0.06580207719855563,0.42117368721805537,0.2949580984208535,0
0.6666666666666666,0.12556338501900255,0.041207670338637294,0.1669266770670827,0.7435897435897436,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.10386084005091217,0.041208180110084106,0.0322192110809997,0.04005758636698403,0.42845390015337204,0.40703008757897763,0
0.0,0.03718761562005951,0.05675954592363261,0.1731669266770671,0.7435897435897436,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.06861021880113946,0.10831878008263408,0.03342366757000903,0.057745654601848335,0.19545397756288319,0.32056554991104047,0
0.0,0.06632387070734187,0.045863633090935274,0.1669266770670827,0.7435897435897436,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0744045093642039,0.11510556431116982,0.0322192110809997,0.05238154193487579,0.2926603332057547,0.33663343977978455,1
0.0,0.34238253001916863,0.0,0.3666146645865834,0.7435897435897436,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.18725983392932904,0.2472916755406,0.0707618187292984,0.05442602712186743,0.6877791945801568,0.5459009902812424,1
0.0,0.1024393730449689,0.0,0.0249609984399376,0.2307692307692308,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.048899933329292676,0.08523235507092049,0.01987353206865402,0.04327405724289744,0.3821799847581615,0.2582552089852679,0
0.3333333333333333,0.07792792035249328,0.03743970048239614,0.12636505460218408,0.7435897435897436,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07258621734650586,0.04999219093864917,0.024390243902439025,0.04012552088600089,0.32429801230065936,0.33168474580510665,0
1.0,0.5876652315764633,0.0,0.4539781591263651,0.7435897435897436,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3286987090126674,0.09349576180943052,0.08762420957542909,0.039473804771419936,0.8422372108300737,0.6912848634513091,0
